Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Maison à vendre - neuf,1 800 000 €13 433 €/m²,5,4,134,,"Vallée de Fécamp, Paris 12ème (75012)","Niché au cœur du 12ème arrondissement, à deux pas de l'avenue Daumesnil et de la place Félix Éboué, le programme Villas Daumesnil se décline en cinq maisons neuves aux surfaces généreuses. Véritables...",IKORY SERVICES IMMOBILIERS
Appartement à vendre,460 000 €11 220 €/m²,2,1,41,4/6,"Grandes Carrières-Clichy, Paris 18ème (75018)","À proximité du métro GUY MÔQUET et à deux pas des BATIGNOLLES - Le Cabinet BR-Immobilier vous présente ce deux pièces parfaitement OPTIMISÉ de 40,24 m2 Carrez situé au quatrième étage sans ascenseur ...",BR Immobilier
Appartement à vendre,460 000 €11 220 €/m²,2,1,41,4/6,"Grandes Carrières-Clichy, Paris 18ème (75018)","À proximité du métro GUY MÔQUET et à deux pas des BATIGNOLLES - Le Cabinet BR-Immobilier vous présente ce deux pièces parfaitement OPTIMISÉ de 40,24 m2 Carrez situé au quatrième étage sans ascenseur ...",BR Immobilier
Appartement à vendre,3 250 000 €12 311 €/m²,7,5,264,3/6,"Mairie, Paris 8ème (75008)","Dans une rue calme, à proximité immédiate des établissements scolaires recherchés, des commerces et du Parc Monceau, au 3e étage et seul à l’étage d’un immeuble en pierre de taille de grand standing,...",DANIEL FEAU SAINT HONORE
Appartement à vendre,3 250 000 €12 311 €/m²,7,5,264,3/6,"Mairie, Paris 8ème (75008)","Dans une rue calme, à proximité immédiate des établissements scolaires recherchés, des commerces et du Parc Monceau, au 3e étage et seul à l’étage d’un immeuble en pierre de taille de grand standing,...",DANIEL FEAU SAINT HONORE
Appartement à vendre,360 000 €10 909 €/m²,2,1,33,2/5,"Grange Aux Belles-Terrage, Paris 10ème (75010)","Hosman vous propose cet appartement 2 pièces traversant de 32,65 m² Carrez (33,45 m² au sol), niché au deuxième étage sans ascenseur d'un immeuble bien entretenu, situé rue Eugène Varlin à Paris. Le ...",
Appartement à vendre,360 000 €10 909 €/m²,2,1,33,2/5,"Grange Aux Belles-Terrage, Paris 10ème (75010)","Hosman vous propose cet appartement 2 pièces traversant de 32,65 m² Carrez (33,45 m² au sol), niché au deuxième étage sans ascenseur d'un immeuble bien entretenu, situé rue Eugène Varlin à Paris. Le ...",
Appartement à vendre,280 000 €3 500 €/m²,3,2,80,,"Cosmonautes, Saint Denis (93200)","L'agence ERA Immobilier vous propose un magnifique appartement à Saint-Denis, situé dans un quartier calme et familial. L'appartement se trouve à 11 minutes à pied du métro Basilique (L.13) et à 2 mi...",ERA IMMOBILIER SAINT DENIS ET LA PLAINE SAINT DENIS
Appartement à vendre,230 000 €10 455 €/m²,1,,22,,"Ternes-Maillot, Paris 17ème (75017)","TERNES-PEREIRE Situé dans un quartier CHIC et CALME, à proximité des commerces et de toutes commodités ainsi qu'a deux minutes à pied du métro Pereire (L3) et à quelques minutes à pied de Ternes (L2)...",Ōddsen Immobilier
Appartement à vendre,230 000 €10 455 €/m²,1,,22,,"Ternes-Maillot, Paris 17ème (75017)","TERNES-PEREIRE Situé dans un quartier CHIC et CALME, à proximité des commerces et de toutes commodités ainsi qu'a deux minutes à pied du métro Pereire (L3) et à quelques minutes à pied de Ternes (L2)...",Ōddsen Immobilier
Appartement à vendre,498 000 €15 032 €/m²,2,1,"33,1",4/5,"Arsenal, Paris 4ème (75004)","Appartement coup de cœur situé à proximité de la place des Vosges dans un immeuble ancien aux parties communes récemment rénovées. Ce bien traversant de deux pièces d'une surface de 33,14 m² loi Carr...",VANEAU MARAIS
Appartement à vendre,498 000 €15 032 €/m²,2,1,"33,1",4/5,"Arsenal, Paris 4ème (75004)","Appartement coup de cœur situé à proximité de la place des Vosges dans un immeuble ancien aux parties communes récemment rénovées. Ce bien traversant de deux pièces d'une surface de 33,14 m² loi Carr...",VANEAU MARAIS
Appartement à vendre,310 000 €8 857 €/m²,2,1,35,3/4,"La Chapelle-Marx Dormoy, Paris 18ème (75018)","AU PIED DU METRO MARX DORMOY, le Cabinet BR Immobilier vous propose ce magnifique 2 pièces en EXCELLENT ETAT, situé au sein d'une copropriété entièrement rénovée. Il se compose d'un séjour LUMINEUX, ...",BR Immobilier
Appartement à vendre,310 000 €8 857 €/m²,2,1,35,3/4,"La Chapelle-Marx Dormoy, Paris 18ème (75018)","AU PIED DU METRO MARX DORMOY, le Cabinet BR Immobilier vous propose ce magnifique 2 pièces en EXCELLENT ETAT, situé au sein d'une copropriété entièrement rénovée. Il se compose d'un séjour LUMINEUX, ...",BR Immobilier
Maison à vendre,3 300 000 €2 568 €/m²,20,10,18 000  de terrain,,Marseille 11ème (13011),"Exclusivité - Située dans le village ou à grandit Marcel Pagnol, À 15 km de Cassis et environ 30 minutes du vieux port de Marseille, découvrez cette bastide du XIXe siècle, en position dominante, au ...",
Maison à vendre,3 300 000 €2 568 €/m²,20,10,18 000  de terrain,,Marseille 11ème (13011),"Exclusivité - Située dans le village ou à grandit Marcel Pagnol, À 15 km de Cassis et environ 30 minutes du vieux port de Marseille, découvrez cette bastide du XIXe siècle, en position dominante, au ...",
Maison à vendre,2 590 000 €5 180 €/m²,17,14,20 000  de terrain,,"Le Redon, Marseille 9ème (13009)","Marseille, 9ème, Luminy, Parc National des Calanques, magnifique maison de Maître de plus de 550 m² avec son parc de 2 hectares. Cette magnifique Maison de Maître (alliant authenticité, calme, nature...",PIERACCINI Hubert   Capifrance
Maison à vendre,2 590 000 €5 180 €/m²,17,14,20 000  de terrain,,"Le Redon, Marseille 9ème (13009)","Marseille, 9ème, Luminy, Parc National des Calanques, magnifique maison de Maître de plus de 550 m² avec son parc de 2 hectares. Cette magnifique Maison de Maître (alliant authenticité, calme, nature...",PIERACCINI Hubert   Capifrance
Maison à vendre,3 600 000 €7 143 €/m²,15,7,504,,"Mazargues, Marseille 9ème (13009)","Barnes Immobilier a le privilège de présenter, un hôtel particulier d'exception rénové par le cabinet TOGU Architecture, situé sur le prestigieux Boulevard Michelet. Un édifice remarquable de plus de...",BARNES MARSEILLE-CASSIS-LITTORAL
Maison à vendre,3 600 000 €7 143 €/m²,15,7,504,,"Mazargues, Marseille 9ème (13009)","Barnes Immobilier a le privilège de présenter, un hôtel particulier d'exception rénové par le cabinet TOGU Architecture, situé sur le prestigieux Boulevard Michelet. Un édifice remarquable de plus de...",BARNES MARSEILLE-CASSIS-LITTORAL
Maison à vendre,1 648 000 €5 071 €/m²,14,10,1 400  de terrain,,"Sainte Anne, Marseille 8ème (13008)","Situé dans un quartier très recherché du 8 € arrondissement de Marseille, au calme absolu, à proximité immédiate des écoles, des transports et des commodités, cet ensemble immobilier rare offre un po...",Agnes Kocsis
Maison à vendre,1 648 000 €5 071 €/m²,14,10,1 400  de terrain,,"Sainte Anne, Marseille 8ème (13008)","Situé dans un quartier très recherché du 8 € arrondissement de Marseille, au calme absolu, à proximité immédiate des écoles, des transports et des commodités, cet ensemble immobilier rare offre un po...",Agnes Kocsis
Maison à vendre,1 575 000 €3 750 €/m²,12,9,2 400  de terrain,,"Saint Barthélémy, Marseille (13014)","Venez découvrir cette splendide Bastide de 300m² du 17e siècle parfaitement entretenue vendue avec sa maison secondaire de 110m², au calme dans une petite résidence située dans le quartier Saint-Bath...",MATERRASSEAMARSEILLE.COM
Maison à vendre,1 575 000 €3 750 €/m²,12,9,2 400  de terrain,,"Saint Barthélémy, Marseille (13014)","Venez découvrir cette splendide Bastide de 300m² du 17e siècle parfaitement entretenue vendue avec sa maison secondaire de 110m², au calme dans une petite résidence située dans le quartier Saint-Bath...",MATERRASSEAMARSEILLE.COM
Villa à vendre,1 575 000 €3 750 €/m²,12,9,2 366  de terrain,,"Saint Barthélémy, Marseille (13014)","Sur une parcelle calme et arborée de 2400m², laissez-vous séduire par cette bastide du XVIIème siècle, joyau intemporel en parfait état. Chaque pierre raconte l'histoire de ses propriétaires, qui ont...",JEROME DAHER IMMOBILIER
Villa à vendre,1 575 000 €3 750 €/m²,12,9,2 366  de terrain,,"Saint Barthélémy, Marseille (13014)","Sur une parcelle calme et arborée de 2400m², laissez-vous séduire par cette bastide du XVIIème siècle, joyau intemporel en parfait état. Chaque pierre raconte l'histoire de ses propriétaires, qui ont...",JEROME DAHER IMMOBILIER
