type_bien,prix,pieces,chambres,surface,etage,adresse,description,agence
Appartement à vendre - neuf,326 000 €3 928 €/m²,4,3,83,,"République-Gare-Porte de Paris, Saint-Denis (93200)","Votre nouvelle résidence à Saint-Denis en TVA 5,5% Vivez au cœur d'un quartier dynamique en pleine transformation, à quelques minutes de Paris ! Idéalement située au bord du canal de Saint-Denis, cet...",QUARTUS RESIDENTIEL
Appartement à vendre - neuf,326 000 €3 928 €/m²,4,3,83,,"République-Gare-Porte de Paris, Saint-Denis (93200)","Votre nouvelle résidence à Saint-Denis en TVA 5,5% Vivez au cœur d'un quartier dynamique en pleine transformation, à quelques minutes de Paris ! Idéalement située au bord du canal de Saint-Denis, cet...",QUARTUS RESIDENTIEL
Appartement à vendre - neuf,377 000 €6 438 €/m²,3,2,"58,6",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre - neuf,377 000 €6 438 €/m²,3,2,"58,6",,"Pleyel, Saint-Denis (93200)","LIVRAISON 1T 2027 – SAINT-DENIS (93) Située entre l'aéroport Roissy Charles de Gaulle, le Stade de France, l'A86, le périphérique et 2 lignes de RER, la commune est jeune et dynamique, à l'image de c...",CREDIT AGRICOLE IMMOBILIER PROMOTION
Appartement à vendre,275 000 €6 707 €/m²,2,1,41,1/9,"Pleyel, Saint Denis (93200)","À deux pas des commerces, des transports et du futur hub du Grand Paris, découvrez ce superbe 2 pièces de 42 m² situé dans une résidence moderne, calme et parfaitement entretenue. Vous serez séduit d...",ERA IMMOBILIER SAINT DENIS ET LA PLAINE SAINT DENIS
Appartement à vendre,275 000 €6 707 €/m²,2,1,41,1/9,"Pleyel, Saint Denis (93200)","À deux pas des commerces, des transports et du futur hub du Grand Paris, découvrez ce superbe 2 pièces de 42 m² situé dans une résidence moderne, calme et parfaitement entretenue. Vous serez séduit d...",ERA IMMOBILIER SAINT DENIS ET LA PLAINE SAINT DENIS
Appartement à vendre,273 000 €3 033 €/m²,4,3,90,3/3,"Arènes, Nimes (30000)","Votre agence A Coté Immobilier vous propose à l'achat ce bel appartement Type 4 d'environ 90m2 situé au 3ième et dernier étage d'un bel immeuble ancien classé, place de l'Hotel de Ville, dans le cent...",A COTE IMMOBILIER
Appartement à vendre - neuf,210 000 €4 468 €/m²,2,,47,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,210 000 €4 468 €/m²,2,,47,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
Appartement à vendre - neuf,285 000 €4 453 €/m²,3,,64,,"Beausoleil, Nîmes (30900)","Appartements Neufs – Nîmes Terrasse | Stationnement privé | Confort moderne | Éligible PTZ & donation exonérée Située au cœur d'un quartier résidentiel calme et verdoyant à Nîmes, cette résidence vou...",NOVANEA
