prix,surface,pieces,adresse,type_bien,departement_nom,departement_code
138 500,"19,8",1.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
123 000,"25,2",1.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
123 000,"25,2",1.0,"Abattoirs, Dijon (21000)",Appartement,Côte-d'Or,21
120 500,"17,2",1.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
120 500,"17,2",1.0,"Docteur Lavalle, Dijon (21000)",Appartement,Côte-d'Or,21
105 000,37,2.0,"Cordeliers, Dijon (21000)",Appartement,Côte-d'Or,21
105 000,37,2.0,"Cordeliers, Dijon (21000)",Appartement,Côte-d'Or,21
618 000,1 623  de terrain,8.0,Locmaria-Plouzané (29280),Maison,Finistère,29
452 000,60,3.0,"Centre, Brest (29200)",Appartement,Finistère,29
452 000,60,3.0,"Centre, Brest (29200)",Appartement,Finistère,29
405 000,90,5.0,"Saint Pierre, Brest (29200)",Maison,Finistère,29
405 000,90,5.0,"Saint Pierre, Brest (29200)",Maison,Finistère,29
395 000,90,4.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
395 000,90,4.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
381 000,"87,5",4.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
381 000,"87,5",4.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
360 000,75,4.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
360 000,75,4.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
355 243,75,4.0,"Centre, Brest (29200)",Appartement,Finistère,29
355 243,75,4.0,"Centre, Brest (29200)",Appartement,Finistère,29
329 000,60,3.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
329 000,60,3.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
290 000,62,3.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
290 000,62,3.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
289 000,61,3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
289 000,61,3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
286 202,60,3.0,"Centre, Brest (29200)",Appartement,Finistère,29
286 202,60,3.0,"Centre, Brest (29200)",Appartement,Finistère,29
282 000,63,3.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
282 000,63,3.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
269 000,60,3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
269 000,60,3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
259 000,"60,9",3.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
259 000,"60,9",3.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
250 000,40,2.0,"Centre, Brest (29200)",Appartement,Finistère,29
250 000,40,2.0,"Centre, Brest (29200)",Appartement,Finistère,29
249 000,40,2.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
249 000,40,2.0,"Quatre Moulins, Brest (29200)",Appartement,Finistère,29
204 144,40,2.0,"Centre, Brest (29200)",Appartement,Finistère,29
204 144,40,2.0,"Centre, Brest (29200)",Appartement,Finistère,29
204 000,"42,8",2.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
204 000,"42,8",2.0,"Saint Marc, Brest (29200)",Appartement,Finistère,29
191 000,"62,1",3.0,"Centre Ville, Saint-Renan (29290)",Appartement,Finistère,29
190 000,"62,8",3.0,"Saint Pierre, Brest (29200)",Appartement,Finistère,29
