latitude,longitude,prix,surface,pieces,type_bien,code_postal,departement,ville
43.6147233,3.879268,325000,58.0,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,322000,63.0,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,295000,62.0,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,290000,48.0,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,290000,32.0,1.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,267000,44.3,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,258000,88.0,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,250000,65.4,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,245000,42.3,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,239000,45.0,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,237289,60.0,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,236000,40.0,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,231000,87.4,4.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,227704,56.6,3.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,199000,45.1,2.0,Appartement,34000,34,Montpellier
43.6147233,3.879268,174954,43.0,2.0,Appartement,34000,34,Montpellier
48.1119795,-1.691532,785000,86.0,4.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,762850,199.0,8.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,649900,101.3,4.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,643500,113.8,5.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,627000,124.2,6.0,Maison,35000,35,Rennes
48.1119795,-1.691532,599645,144.0,7.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,589900,132.6,5.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,576000,88.6,4.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,498000,121.0,5.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,425000,90.3,4.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,420000,60.0,3.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,419000,75.2,3.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,350000,65.6,3.0,Appartement,35000,35,Rennes
48.0893383,-1.6631727,349000,61.0,3.0,Appartement,35200,35,Rennes
48.1119795,-1.691532,327000,66.1,3.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,318000,37.0,2.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,294000,46.7,3.0,Appartement,35000,35,Rennes
48.0893383,-1.6631727,253500,44.0,2.0,Appartement,35200,35,Rennes
48.1119795,-1.691532,235000,43.1,2.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,233900,81.0,4.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,233000,65.9,3.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,189000,47.6,2.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,160000,21.6,1.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,145000,19.8,1.0,Appartement,35000,35,Rennes
48.1119795,-1.691532,128800,18.4,1.0,Appartement,35000,35,Rennes
47.3852447,0.6881351,674000,146.8,5.0,Appartement,37000,37,Tours
47.3852447,0.6881351,639600,144.0,6.0,Maison,37000,37,Tours
47.3852447,0.6881351,587600,130.0,7.0,Maison,37000,37,Tours
47.3852447,0.6881351,535000,102.0,5.0,Maison,37000,37,Tours
47.3852447,0.6881351,451500,73.0,3.0,Appartement,37000,37,Tours
47.3852447,0.6881351,450000,82.0,3.0,Appartement,37000,37,Tours
47.3852447,0.6881351,364000,113.1,5.0,Appartement,37000,37,Tours
47.3852447,0.6881351,325877,63.6,3.0,Appartement,37000,37,Tours
47.3852447,0.6881351,318000,115.0,5.0,Appartement,37000,37,Tours
47.3852447,0.6881351,286200,86.0,4.0,Appartement,37000,37,Tours
47.3852447,0.6881351,257630,51.5,2.0,Appartement,37000,37,Tours
47.3852447,0.6881351,254000,60.0,3.0,Appartement,37000,37,Tours
47.3852447,0.6881351,249900,60.0,2.0,Appartement,37000,37,Tours
47.3852447,0.6881351,247046,60.2,3.0,Appartement,37000,37,Tours
47.3852447,0.6881351,221000,48.0,2.0,Appartement,37000,37,Tours
47.3852447,0.6881351,1144000,260.0,7.0,Maison,37000,37,Tours
47.3852447,0.6881351,181109,38.9,2.0,Appartement,37000,37,Tours
47.3852447,0.6881351,138000,59.0,2.0,Appartement,37000,37,Tours
45.4509921,4.3896191,98000,99.0,4.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,81000,80.0,3.0,Appartement,42000,42,Saint-Étienne
45.4094272,4.428537,72000,71.5,3.0,Appartement,42100,42,Saint-Étienne
45.4094272,4.428537,69000,56.0,2.0,Appartement,42100,42,Saint-Étienne
45.4509921,4.3896191,67500,48.5,4.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,67000,31.0,2.0,Appartement,42000,42,Saint-Étienne
45.4094272,4.428537,60000,57.0,4.0,Appartement,42100,42,Saint-Étienne
45.4509921,4.3896191,59000,48.6,3.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,54000,50.0,2.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,520000,214.0,6.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,239000,129.0,5.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,215000,134.8,5.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,200000,204.0,6.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,190000,235.5,7.0,Appartement,42000,42,Saint-Étienne
45.4094272,4.428537,185000,185.0,7.0,Appartement,42100,42,Saint-Étienne
45.4509921,4.3896191,163000,128.0,6.0,Appartement,42000,42,Saint-Étienne
45.4509921,4.3896191,149000,109.5,4.0,Maison,42000,42,Saint-Étienne
45.4094272,4.428537,129500,65.2,3.0,Appartement,42100,42,Saint-Étienne
45.4509921,4.3896191,110000,100.4,5.0,Appartement,42000,42,Saint-Étienne
47.2232246,-1.5532911,569000,86.0,4.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,549000,86.0,4.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,549000,155.2,3.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,498000,132.0,4.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,430000,67.0,3.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,399000,64.0,3.0,Appartement,44000,44,Nantes
47.2232246,-1.5532911,349000,107.0,5.0,Appartement,44000,44,Nantes
